-1.000000 	 -0.841471
-0.950000 	 -0.813416
-0.900000 	 -0.783327
-0.850000 	 -0.751280
-0.800000 	 -0.717356
-0.750000 	 -0.681639
-0.700000 	 -0.644218
-0.650000 	 -0.605186
-0.600000 	 -0.564642
-0.550000 	 -0.522687
-0.500000 	 -0.479426
-0.450000 	 -0.434966
-0.400000 	 -0.389418
-0.350000 	 -0.342898
-0.300000 	 -0.295520
-0.250000 	 -0.247404
-0.200000 	 -0.198669
-0.150000 	 -0.149438
-0.100000 	 -0.099833
-0.050000 	 -0.049979
0.000000 	 0.000000
0.050000 	 0.049979
0.100000 	 0.099833
0.150000 	 0.149438
0.200000 	 0.198669
0.250000 	 0.247404
0.300000 	 0.295520
0.350000 	 0.342898
0.400000 	 0.389418
0.450000 	 0.434966
0.500000 	 0.479426
0.550000 	 0.522687
0.600000 	 0.564642
0.650000 	 0.605186
0.700000 	 0.644218
0.750000 	 0.681639
0.800000 	 0.717356
0.850000 	 0.751280
0.900000 	 0.783327
0.950000 	 0.813416
1.000000 	 0.841471
